alert_id,cse,created_at,severity,closure_minutes,escalated,asset
1,CSE_Power_A,2026-06-13T03:00:00,Low,311,False,asset_8
2,CSE_Power_A,2026-02-27T04:00:00,High,588,True,asset_14
3,CSE_Power_A,2026-01-09T00:00:00,Low,268,False,asset_17
4,CSE_Power_A,2026-06-04T00:00:00,Medium,588,False,asset_14
5,CSE_Power_A,2026-02-26T14:00:00,Medium,36,False,asset_25
6,CSE_Power_A,2026-07-26T05:00:00,Medium,378,False,asset_9
7,CSE_Power_A,2026-02-09T06:00:00,Critical,374,True,asset_13
8,CSE_Power_A,2026-01-25T11:00:00,High,300,False,asset_24
9,CSE_Power_A,2026-04-28T17:00:00,Low,417,False,asset_3
10,CSE_Power_A,2026-05-22T09:00:00,High,400,True,asset_23
11,CSE_Power_A,2026-01-18T01:00:00,Medium,326,False,asset_3
12,CSE_Power_A,2026-08-07T07:00:00,High,419,True,asset_21
13,CSE_Power_A,2026-08-02T11:00:00,Low,393,False,asset_7
14,CSE_Power_A,2026-06-21T08:00:00,High,103,True,asset_6
15,CSE_Power_A,2026-05-17T23:00:00,Low,503,False,asset_13
16,CSE_Power_A,2026-03-11T20:00:00,Medium,254,False,asset_22
17,CSE_Power_A,2026-03-25T01:00:00,Low,62,False,asset_26
18,CSE_Power_A,2026-03-22T12:00:00,Low,246,False,asset_30
19,CSE_Power_A,2026-05-26T22:00:00,Low,541,False,asset_13
20,CSE_Power_A,2026-08-15T20:00:00,Medium,301,False,asset_5
21,CSE_Power_A,2026-03-05T23:00:00,Medium,299,False,asset_24
22,CSE_Power_A,2026-05-30T13:00:00,High,438,True,asset_5
23,CSE_Power_A,2026-05-11T15:00:00,Low,78,False,asset_28
24,CSE_Power_A,2026-01-29T04:00:00,Medium,462,False,asset_20
25,CSE_Power_A,2026-01-17T12:00:00,Low,509,False,asset_17
26,CSE_Power_A,2026-03-06T17:00:00,High,41,True,asset_4
27,CSE_Power_A,2026-06-24T17:00:00,High,378,True,asset_14
28,CSE_Power_A,2026-02-10T14:00:00,Low,299,False,asset_17
29,CSE_Power_A,2026-07-15T05:00:00,Medium,138,False,asset_28
30,CSE_Power_A,2026-06-10T09:00:00,High,549,True,asset_5
31,CSE_Power_A,2026-04-06T05:00:00,Medium,573,False,asset_30
32,CSE_Power_A,2026-01-01T19:00:00,Low,49,False,asset_4
33,CSE_Power_A,2026-08-26T11:00:00,High,344,True,asset_8
34,CSE_Power_A,2026-08-13T18:00:00,Critical,117,True,asset_27
35,CSE_Power_A,2026-01-18T17:00:00,High,161,True,asset_18
36,CSE_Power_A,2026-02-12T08:00:00,Medium,463,False,asset_7
37,CSE_Power_A,2026-08-26T17:00:00,High,235,True,asset_13
38,CSE_Power_A,2026-06-21T20:00:00,Low,559,False,asset_15
39,CSE_Power_A,2026-01-31T07:00:00,Low,376,False,asset_1
40,CSE_Power_A,2026-05-31T17:00:00,Low,255,False,asset_1
41,CSE_Power_A,2026-01-19T22:00:00,Medium,264,False,asset_3
42,CSE_Power_A,2026-08-20T01:00:00,High,102,True,asset_9
43,CSE_Power_A,2026-06-21T15:00:00,Low,165,False,asset_24
44,CSE_Power_A,2026-08-28T18:00:00,Medium,278,False,asset_26
45,CSE_Power_A,2026-05-02T13:00:00,Low,129,False,asset_22
46,CSE_Power_A,2026-04-21T11:00:00,Medium,508,False,asset_28
47,CSE_Power_A,2026-07-06T01:00:00,Medium,130,False,asset_2
48,CSE_Power_A,2026-04-14T23:00:00,Low,141,False,asset_8
49,CSE_Power_A,2026-02-19T06:00:00,Medium,173,False,asset_14
50,CSE_Power_A,2026-02-16T08:00:00,Medium,107,False,asset_15
51,CSE_Power_A,2026-07-26T17:00:00,Low,583,False,asset_27
52,CSE_Power_A,2026-01-04T02:00:00,Critical,272,True,asset_16
53,CSE_Power_A,2026-05-04T06:00:00,High,90,True,asset_1
54,CSE_Power_A,2026-04-10T08:00:00,Critical,495,True,asset_23
55,CSE_Power_A,2026-07-07T17:00:00,Medium,528,False,asset_5
56,CSE_Power_A,2026-02-18T09:00:00,Low,89,False,asset_19
57,CSE_Power_A,2026-07-08T17:00:00,Low,351,False,asset_2
58,CSE_Power_A,2026-01-13T18:00:00,Medium,573,False,asset_6
59,CSE_Power_A,2026-01-15T16:00:00,Low,220,False,asset_3
60,CSE_Power_A,2026-06-02T02:00:00,Medium,270,False,asset_13
61,CSE_Power_A,2026-01-31T18:00:00,Low,70,False,asset_20
62,CSE_Power_A,2026-01-21T13:00:00,Medium,565,False,asset_11
63,CSE_Power_A,2026-08-28T08:00:00,Low,351,False,asset_8
64,CSE_Power_A,2026-03-09T12:00:00,Low,337,False,asset_15
65,CSE_Power_A,2026-03-22T02:00:00,Low,132,False,asset_3
66,CSE_Power_A,2026-05-18T06:00:00,Medium,165,False,asset_30
67,CSE_Power_A,2026-03-31T02:00:00,High,408,True,asset_15
68,CSE_Power_A,2026-08-02T17:00:00,High,571,True,asset_27
69,CSE_Power_A,2026-05-22T09:00:00,Critical,136,False,asset_5
70,CSE_Power_A,2026-03-09T03:00:00,High,596,True,asset_10
71,CSE_Power_A,2026-06-04T06:00:00,High,238,True,asset_28
72,CSE_Power_A,2026-03-09T16:00:00,Medium,82,False,asset_3
73,CSE_Power_A,2026-06-12T13:00:00,High,75,True,asset_25
74,CSE_Power_A,2026-02-03T20:00:00,Critical,195,True,asset_18
75,CSE_Power_A,2026-06-30T13:00:00,Medium,144,False,asset_3
76,CSE_Power_A,2026-08-15T22:00:00,Critical,588,True,asset_12
77,CSE_Power_A,2026-05-30T17:00:00,Low,160,False,asset_2
78,CSE_Power_A,2026-03-20T11:00:00,High,70,False,asset_7
79,CSE_Power_A,2026-06-24T07:00:00,Medium,392,False,asset_25
80,CSE_Power_A,2026-05-24T13:00:00,Critical,188,False,asset_8
81,CSE_Power_A,2026-08-10T05:00:00,Critical,211,False,asset_1
82,CSE_Power_A,2026-02-15T23:00:00,Critical,451,False,asset_28
83,CSE_Power_A,2026-07-08T07:00:00,Low,140,False,asset_13
84,CSE_Power_A,2026-08-12T01:00:00,High,257,True,asset_30
85,CSE_Power_A,2026-04-28T11:00:00,Low,263,False,asset_8
86,CSE_Power_A,2026-01-07T21:00:00,Low,366,False,asset_9
87,CSE_Power_A,2026-08-10T02:00:00,Critical,315,True,asset_17
88,CSE_Power_A,2026-04-13T21:00:00,Critical,579,True,asset_1
89,CSE_Power_A,2026-01-30T08:00:00,Low,301,False,asset_2
90,CSE_Power_A,2026-01-28T19:00:00,Medium,351,False,asset_14
91,CSE_Power_A,2026-06-05T16:00:00,Low,224,False,asset_9
92,CSE_Power_A,2026-01-12T22:00:00,Medium,562,False,asset_30
93,CSE_Power_A,2026-07-26T17:00:00,Medium,231,False,asset_12
94,CSE_Power_A,2026-04-21T02:00:00,Critical,368,True,asset_22
95,CSE_Power_A,2026-08-06T03:00:00,High,337,True,asset_22
96,CSE_Power_A,2026-04-15T10:00:00,Medium,332,False,asset_18
97,CSE_Power_A,2026-02-02T06:00:00,Medium,418,False,asset_22
98,CSE_Power_A,2026-07-11T05:00:00,Medium,338,False,asset_13
99,CSE_Power_A,2026-05-21T00:00:00,Low,245,False,asset_14
100,CSE_Power_A,2026-07-21T18:00:00,Medium,359,False,asset_15
101,CSE_Power_A,2026-04-24T14:00:00,Medium,553,False,asset_16
102,CSE_Power_A,2026-07-23T23:00:00,Low,116,False,asset_10
103,CSE_Power_A,2026-05-12T21:00:00,Medium,373,False,asset_3
104,CSE_Power_A,2026-07-29T07:00:00,Medium,260,False,asset_26
105,CSE_Power_A,2026-02-20T04:00:00,Low,280,False,asset_16
106,CSE_Power_A,2026-06-06T02:00:00,Medium,229,False,asset_23
107,CSE_Power_A,2026-06-28T12:00:00,Medium,279,False,asset_5
108,CSE_Power_A,2026-06-17T22:00:00,Low,139,False,asset_25
109,CSE_Power_A,2026-04-19T07:00:00,Low,560,False,asset_15
110,CSE_Power_A,2026-01-13T17:00:00,Low,154,False,asset_15
111,CSE_Power_A,2026-02-04T14:00:00,Medium,354,False,asset_25
112,CSE_Power_A,2026-08-17T14:00:00,Medium,546,False,asset_14
113,CSE_Power_A,2026-08-01T17:00:00,Medium,192,False,asset_24
114,CSE_Power_A,2026-08-09T15:00:00,Medium,283,False,asset_27
115,CSE_Power_A,2026-06-13T08:00:00,High,563,True,asset_8
116,CSE_Power_A,2026-03-12T14:00:00,Low,322,False,asset_8
117,CSE_Power_A,2026-03-11T10:00:00,Low,583,False,asset_3
118,CSE_Power_A,2026-02-05T04:00:00,Low,186,False,asset_23
119,CSE_Power_A,2026-02-24T02:00:00,Medium,368,False,asset_18
120,CSE_Power_A,2026-04-30T13:00:00,Low,460,False,asset_13
121,CSE_Power_A,2026-08-20T18:00:00,Critical,50,False,asset_25
122,CSE_Power_A,2026-05-28T12:00:00,Medium,390,False,asset_10
123,CSE_Power_A,2026-07-12T12:00:00,High,459,True,asset_24
124,CSE_Power_A,2026-05-20T19:00:00,High,529,True,asset_14
125,CSE_Power_A,2026-05-05T00:00:00,Low,444,False,asset_24
126,CSE_Power_A,2026-02-12T14:00:00,Critical,576,True,asset_13
127,CSE_Power_A,2026-06-01T18:00:00,Medium,115,False,asset_21
128,CSE_Power_A,2026-04-20T04:00:00,High,216,True,asset_13
129,CSE_Power_A,2026-03-25T06:00:00,Medium,375,False,asset_25
130,CSE_Power_A,2026-08-14T12:00:00,Low,461,False,asset_9
131,CSE_Power_A,2026-08-02T02:00:00,Medium,582,False,asset_2
132,CSE_Power_A,2026-03-31T07:00:00,Medium,71,False,asset_25
133,CSE_Power_A,2026-01-08T07:00:00,Low,50,False,asset_20
134,CSE_Power_A,2026-02-09T07:00:00,Low,147,False,asset_19
135,CSE_Power_A,2026-02-25T14:00:00,Medium,407,False,asset_6
136,CSE_Power_A,2026-06-05T19:00:00,Critical,147,False,asset_6
137,CSE_Power_A,2026-03-21T03:00:00,Medium,349,False,asset_19
138,CSE_Power_A,2026-06-23T12:00:00,Low,233,False,asset_3
139,CSE_Power_A,2026-06-01T22:00:00,High,278,True,asset_25
140,CSE_Power_A,2026-03-19T21:00:00,Medium,153,False,asset_26
141,CSE_Power_A,2026-05-25T01:00:00,Low,468,False,asset_22
142,CSE_Power_A,2026-04-05T02:00:00,Medium,379,False,asset_1
143,CSE_Power_A,2026-08-06T13:00:00,High,138,True,asset_12
144,CSE_Power_A,2026-06-12T14:00:00,High,475,True,asset_17
145,CSE_Power_A,2026-06-16T08:00:00,Medium,581,False,asset_25
146,CSE_Power_A,2026-05-04T14:00:00,Medium,304,False,asset_11
147,CSE_Power_A,2026-08-07T07:00:00,High,118,True,asset_15
148,CSE_Power_A,2026-03-04T14:00:00,Medium,418,False,asset_11
149,CSE_Power_A,2026-01-08T15:00:00,High,216,True,asset_12
150,CSE_Power_A,2026-07-24T08:00:00,Low,312,False,asset_18
151,CSE_Power_A,2026-01-03T16:00:00,Critical,117,True,asset_14
152,CSE_Power_A,2026-05-06T17:00:00,High,517,True,asset_16
153,CSE_Power_A,2026-04-25T00:00:00,Low,256,False,asset_13
154,CSE_Power_A,2026-06-27T07:00:00,Low,407,False,asset_16
155,CSE_Power_A,2026-05-22T16:00:00,Low,593,False,asset_11
156,CSE_Power_A,2026-04-01T22:00:00,Medium,343,False,asset_9
157,CSE_Power_A,2026-03-01T03:00:00,High,353,True,asset_18
158,CSE_Power_A,2026-07-15T22:00:00,Low,251,False,asset_24
159,CSE_Power_A,2026-05-04T08:00:00,High,567,True,asset_4
160,CSE_Power_A,2026-08-02T06:00:00,Low,399,False,asset_6
161,CSE_Power_A,2026-03-19T00:00:00,High,159,True,asset_2
162,CSE_Power_A,2026-05-22T09:00:00,Medium,159,False,asset_21
163,CSE_Power_A,2026-08-11T15:00:00,Low,42,False,asset_19
164,CSE_Power_A,2026-03-14T15:00:00,Medium,378,False,asset_6
165,CSE_Power_A,2026-01-14T08:00:00,Critical,519,True,asset_3
166,CSE_Power_A,2026-04-13T15:00:00,Low,84,False,asset_5
167,CSE_Power_A,2026-02-08T18:00:00,Critical,117,False,asset_4
168,CSE_Power_A,2026-05-23T13:00:00,Medium,261,False,asset_25
169,CSE_Power_A,2026-05-14T12:00:00,Medium,483,False,asset_10
170,CSE_Power_A,2026-08-09T18:00:00,Critical,342,True,asset_2
171,CSE_Power_A,2026-06-06T23:00:00,Low,242,False,asset_21
172,CSE_Power_A,2026-02-24T08:00:00,Medium,190,False,asset_8
173,CSE_Power_A,2026-02-14T17:00:00,Low,32,False,asset_14
174,CSE_Power_A,2026-04-26T22:00:00,Medium,328,False,asset_2
175,CSE_Power_A,2026-03-01T09:00:00,High,494,True,asset_8
176,CSE_Power_A,2026-08-25T08:00:00,High,232,True,asset_18
177,CSE_Power_A,2026-02-27T20:00:00,Low,302,False,asset_27
178,CSE_Power_A,2026-02-06T02:00:00,Low,344,False,asset_20
179,CSE_Power_A,2026-07-11T18:00:00,Critical,479,True,asset_23
180,CSE_Power_A,2026-03-19T22:00:00,Medium,308,False,asset_17
181,CSE_Power_A,2026-05-19T15:00:00,Medium,70,False,asset_29
182,CSE_Power_A,2026-04-21T23:00:00,Low,286,False,asset_1
183,CSE_Power_A,2026-01-24T07:00:00,Critical,51,False,asset_22
184,CSE_Power_A,2026-07-30T08:00:00,Medium,209,False,asset_16
185,CSE_Power_A,2026-05-13T20:00:00,Medium,314,False,asset_6
186,CSE_Power_A,2026-05-30T13:00:00,Medium,533,False,asset_3
187,CSE_Power_A,2026-05-01T11:00:00,Medium,358,False,asset_22
188,CSE_Power_A,2026-01-27T05:00:00,Low,537,False,asset_10
189,CSE_Power_A,2026-06-19T12:00:00,High,593,True,asset_3
190,CSE_Power_A,2026-03-22T08:00:00,Low,443,False,asset_28
191,CSE_Power_A,2026-05-12T00:00:00,Medium,585,False,asset_15
192,CSE_Power_A,2026-04-16T01:00:00,Low,400,False,asset_20
193,CSE_Power_A,2026-07-13T15:00:00,Medium,82,False,asset_7
194,CSE_Power_A,2026-03-10T17:00:00,Low,324,False,asset_15
195,CSE_Power_A,2026-08-14T22:00:00,Medium,59,False,asset_21
196,CSE_Power_A,2026-06-05T07:00:00,High,348,True,asset_18
197,CSE_Power_A,2026-04-15T02:00:00,Low,146,False,asset_15
198,CSE_Power_A,2026-01-31T20:00:00,High,540,False,asset_10
199,CSE_Power_A,2026-05-11T22:00:00,Low,524,False,asset_16
200,CSE_Power_A,2026-03-04T14:00:00,Medium,422,False,asset_7
201,CSE_Bank_B,2026-08-24T19:00:00,Medium,169,False,asset_28
202,CSE_Bank_B,2026-01-18T08:00:00,High,454,True,asset_26
203,CSE_Bank_B,2026-05-10T08:00:00,High,319,True,asset_27
204,CSE_Bank_B,2026-05-31T18:00:00,Critical,531,False,asset_15
205,CSE_Bank_B,2026-05-18T15:00:00,Low,595,False,asset_25
206,CSE_Bank_B,2026-05-20T12:00:00,Medium,359,False,asset_28
207,CSE_Bank_B,2026-02-18T22:00:00,Low,422,False,asset_8
208,CSE_Bank_B,2026-08-08T13:00:00,Low,514,False,asset_23
209,CSE_Bank_B,2026-08-22T12:00:00,Low,185,False,asset_16
210,CSE_Bank_B,2026-01-10T04:00:00,Medium,369,False,asset_28
211,CSE_Bank_B,2026-01-26T14:00:00,Low,497,False,asset_1
212,CSE_Bank_B,2026-07-04T04:00:00,Medium,188,False,asset_3
213,CSE_Bank_B,2026-05-01T08:00:00,Low,437,False,asset_21
214,CSE_Bank_B,2026-01-21T10:00:00,High,576,True,asset_11
215,CSE_Bank_B,2026-06-10T22:00:00,High,529,False,asset_2
216,CSE_Bank_B,2026-06-08T02:00:00,Low,324,False,asset_8
217,CSE_Bank_B,2026-07-11T02:00:00,Medium,130,False,asset_25
218,CSE_Bank_B,2026-06-12T22:00:00,High,484,True,asset_10
219,CSE_Bank_B,2026-08-20T00:00:00,Low,87,False,asset_10
220,CSE_Bank_B,2026-04-02T11:00:00,Medium,280,False,asset_17
221,CSE_Bank_B,2026-04-16T18:00:00,Medium,214,False,asset_6
222,CSE_Bank_B,2026-02-14T02:00:00,Medium,421,False,asset_20
223,CSE_Bank_B,2026-06-24T07:00:00,Medium,176,False,asset_8
224,CSE_Bank_B,2026-04-29T20:00:00,Low,291,False,asset_22
225,CSE_Bank_B,2026-01-03T14:00:00,Critical,589,True,asset_15
226,CSE_Bank_B,2026-03-30T18:00:00,Low,464,False,asset_23
227,CSE_Bank_B,2026-03-06T14:00:00,High,233,False,asset_28
228,CSE_Bank_B,2026-05-04T03:00:00,Low,397,False,asset_19
229,CSE_Bank_B,2026-03-17T22:00:00,Low,435,False,asset_9
