case_id,alert_id,cse,investigation_notes_length,status
1,2,CSE_Power_A,379,Closed
2,3,CSE_Power_A,266,Closed
3,5,CSE_Power_A,240,Closed
4,9,CSE_Power_A,264,Closed
5,11,CSE_Power_A,325,Closed
6,12,CSE_Power_A,236,Closed
7,13,CSE_Power_A,169,Open
8,17,CSE_Power_A,355,Closed
9,18,CSE_Power_A,400,Closed
10,24,CSE_Power_A,382,Closed
11,26,CSE_Power_A,358,Open
12,27,CSE_Power_A,156,Closed
13,28,CSE_Power_A,381,Open
14,30,CSE_Power_A,336,Open
15,31,CSE_Power_A,266,Open
16,32,CSE_Power_A,202,Open
17,35,CSE_Power_A,161,Closed
18,36,CSE_Power_A,369,Open
19,38,CSE_Power_A,327,Closed
20,39,CSE_Power_A,329,Closed
21,40,CSE_Power_A,269,Closed
22,41,CSE_Power_A,185,Open
23,43,CSE_Power_A,320,Closed
24,45,CSE_Power_A,245,Closed
25,47,CSE_Power_A,220,Open
26,48,CSE_Power_A,358,Open
27,49,CSE_Power_A,273,Closed
28,50,CSE_Power_A,119,Open
29,51,CSE_Power_A,194,Open
30,52,CSE_Power_A,256,Closed
31,55,CSE_Power_A,151,Closed
32,56,CSE_Power_A,119,Open
33,58,CSE_Power_A,175,Closed
34,59,CSE_Power_A,140,Open
35,60,CSE_Power_A,249,Open
36,61,CSE_Power_A,325,Closed
37,62,CSE_Power_A,162,Open
38,64,CSE_Power_A,102,Closed
39,65,CSE_Power_A,162,Closed
40,67,CSE_Power_A,373,Closed
41,68,CSE_Power_A,212,Closed
42,69,CSE_Power_A,287,Open
43,76,CSE_Power_A,390,Closed
44,78,CSE_Power_A,290,Open
45,79,CSE_Power_A,378,Closed
46,81,CSE_Power_A,165,Open
47,84,CSE_Power_A,115,Closed
48,85,CSE_Power_A,147,Closed
49,86,CSE_Power_A,347,Open
50,90,CSE_Power_A,394,Open
51,91,CSE_Power_A,352,Open
52,93,CSE_Power_A,146,Open
53,94,CSE_Power_A,80,Open
54,96,CSE_Power_A,269,Closed
55,98,CSE_Power_A,326,Closed
56,99,CSE_Power_A,374,Closed
57,100,CSE_Power_A,210,Closed
58,103,CSE_Power_A,386,Open
59,104,CSE_Power_A,176,Closed
60,107,CSE_Power_A,140,Open
61,108,CSE_Power_A,185,Open
62,110,CSE_Power_A,134,Closed
63,111,CSE_Power_A,379,Closed
